R5,33.00,21.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,37.15,5.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,35.87,5.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.58,5.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.00,27.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.90,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.50,108.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.00,53.00,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.50,108.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.50,27.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.50,108.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,149.51,10.00,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.00,11.00,0.00,,SJ
TP1,17.00,77.00,0.00,TPTP20R,TP20R
TP10,11.50,6.00,0.00,TPTP20R,TP20R
TP11,5.50,6.00,0.00,TPTP20R,TP20R
TP12,8.50,6.00,0.00,TPTP20R,TP20R
TP13,27.00,47.00,0.00,TPTP20R,TP20R
TP14,129.00,42.00,0.00,TPTP20R,TP20R
TP15,64.00,76.00,0.00,TPTP20R,TP20R
TP16,68.00,76.00,0.00,TPTP20R,TP20R
TP17,64.00,72.00,0.00,TPTP20R,TP20R
TP2,20.00,77.00,0.00,TPTP20R,TP20R
TP3,132.00,42.00,0.00,TPTP20R,TP20R
TP4,71.00,106.00,0.00,TPTP20R,TP20R
TP5,75.00,106.00,0.00,TPTP20R,TP20R
TP6,2.50,105.50,0.00,TPTP20R,TP20R
TP7,14.50,6.00,0.00,TPTP20R,TP20R
TP8,2.50,101.50,0.00,TPTP20R,TP20R
TP9,27.00,43.00,0.00,TPTP20R,TP20R
U1,37.00,26.50,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,29.50,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,79.00,57.00,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,143.00,23.00,0.00,MAX17048G+T10,SON50P200X200X80-9N
_C9,9.50,99.50,270.00,100uF,EAGLE-LTSPICE_C0402
_D10,38.11,9.94,90.00,PGB1010603MR,DIOC1608X36N
_D11,33.75,9.90,90.00,PGB1010603MR,DIOC1608X36N
_D12,35.70,9.89,90.00,PGB1010603MR,DIOC1608X36N
_D6,74.27,23.52,0.00,PGB1010603MR,DIOC1608X36N
_D8,14.15,98.05,180.00,PGB1010603MR,DIOC1608X36N
_D9,35.50,21.00,90.00,PGB1010603MR,DIOC1608X36N
_J2,166.75,54.30,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
_J4,8.28,88.88,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
_Q3,69.50,17.50,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
